symbol,date,price
VegA,2012-06-22 23:02:32 UTC,592
VegB,2012-06-22 23:02:32 UTC,97
VegC,2012-06-22 23:02:32 UTC,1
VegD,2012-06-22 23:02:32 UTC,24
VegA,2012-06-22 23:02:42 UTC,593
VegB,2012-06-22 23:02:42 UTC,97
VegC,2012-06-22 23:02:42 UTC,1
VegD,2012-06-22 23:02:42 UTC,24
VegA,2012-06-22 23:02:52 UTC,593
VegB,2012-06-22 23:02:52 UTC,97
VegC,2012-06-22 23:02:52 UTC,1
VegD,2012-06-22 23:02:52 UTC,24
VegA,2012-06-22 23:03:02 UTC,593
VegB,2012-06-22 23:03:02 UTC,97
VegC,2012-06-22 23:03:02 UTC,1
VegD,2012-06-22 23:03:02 UTC,24
VegA,2012-06-22 23:03:12 UTC,593
VegB,2012-06-22 23:03:12 UTC,97
VegC,2012-06-22 23:03:12 UTC,1
VegD,2012-06-22 23:03:12 UTC,24
VegA,2012-06-22 23:03:22 UTC,593
VegB,2012-06-22 23:03:22 UTC,98
VegC,2012-06-22 23:03:22 UTC,0
VegD,2012-06-22 23:03:22 UTC,24
VegA,2012-06-22 23:03:32 UTC,593
VegB,2012-06-22 23:03:32 UTC,97
VegC,2012-06-22 23:03:32 UTC,1
VegD,2012-06-22 23:03:32 UTC,24
VegA,2012-06-22 23:03:42 UTC,593
VegB,2012-06-22 23:03:42 UTC,99
VegC,2012-06-22 23:03:42 UTC,1
VegD,2012-06-22 23:03:43 UTC,24
VegA,2012-06-22 23:03:53 UTC,592
VegB,2012-06-22 23:03:53 UTC,97
VegC,2012-06-22 23:03:53 UTC,1
VegD,2012-06-22 23:03:53 UTC,24
VegA,2012-06-22 23:04:03 UTC,593
VegB,2012-06-22 23:04:03 UTC,98
VegC,2012-06-22 23:04:03 UTC,1
VegD,2012-06-22 23:04:03 UTC,24
VegA,2012-06-22 23:04:13 UTC,593
VegB,2012-06-22 23:04:13 UTC,96
VegC,2012-06-22 23:04:13 UTC,1
VegD,2012-06-22 23:04:13 UTC,24
VegA,2012-06-22 23:04:23 UTC,592
VegB,2012-06-22 23:04:23 UTC,98
VegC,2012-06-22 23:04:23 UTC,1
VegD,2012-06-22 23:04:23 UTC,24
VegA,2012-06-22 23:04:33 UTC,593
VegB,2012-06-22 23:04:33 UTC,98
VegC,2012-06-22 23:04:33 UTC,1
VegD,2012-06-22 23:04:33 UTC,24
VegA,2012-06-22 23:04:43 UTC,592
VegB,2012-06-22 23:04:43 UTC,96
VegC,2012-06-22 23:04:43 UTC,1
VegD,2012-06-22 23:04:43 UTC,24
VegA,2012-06-22 23:04:53 UTC,592
VegB,2012-06-22 23:04:53 UTC,96
VegC,2012-06-22 23:04:53 UTC,0
VegD,2012-06-22 23:04:53 UTC,24
VegA,2012-06-22 23:05:03 UTC,593
VegB,2012-06-22 23:05:03 UTC,99
VegC,2012-06-22 23:05:03 UTC,1
VegD,2012-06-22 23:05:03 UTC,24
VegA,2012-06-22 23:05:13 UTC,593
VegB,2012-06-22 23:05:13 UTC,97
VegC,2012-06-22 23:05:13 UTC,1
VegD,2012-06-22 23:05:13 UTC,24
VegA,2012-06-22 23:05:23 UTC,593
VegB,2012-06-22 23:05:23 UTC,97
VegC,2012-06-22 23:05:23 UTC,1
VegD,2012-06-22 23:05:23 UTC,24
VegA,2012-06-22 23:05:33 UTC,593
VegB,2012-06-22 23:05:33 UTC,97
VegC,2012-06-22 23:05:33 UTC,1
VegD,2012-06-22 23:05:33 UTC,24
VegA,2012-06-22 23:05:43 UTC,591
VegB,2012-06-22 23:05:43 UTC,97
VegC,2012-06-22 23:05:43 UTC,1
VegD,2012-06-22 23:05:43 UTC,24
VegA,2012-06-22 23:05:53 UTC,593
VegB,2012-06-22 23:05:53 UTC,97
VegC,2012-06-22 23:05:53 UTC,1
VegD,2012-06-22 23:05:53 UTC,24
VegA,2012-06-22 23:06:03 UTC,592
VegB,2012-06-22 23:06:03 UTC,97
VegC,2012-06-22 23:06:03 UTC,0
VegD,2012-06-22 23:06:03 UTC,24
VegA,2012-06-22 23:06:13 UTC,593
VegB,2012-06-22 23:06:13 UTC,98
VegC,2012-06-22 23:06:13 UTC,1
VegD,2012-06-22 23:06:13 UTC,24
VegA,2012-06-22 23:06:23 UTC,592
VegB,2012-06-22 23:06:23 UTC,97
VegC,2012-06-22 23:06:23 UTC,1
VegD,2012-06-22 23:06:23 UTC,24
VegA,2012-06-22 23:06:33 UTC,593
VegB,2012-06-22 23:06:33 UTC,96
VegC,2012-06-22 23:06:33 UTC,1
VegD,2012-06-22 23:06:33 UTC,24
VegA,2012-06-22 23:06:43 UTC,592
VegB,2012-06-22 23:06:43 UTC,97
VegC,2012-06-22 23:06:43 UTC,1
VegD,2012-06-22 23:06:43 UTC,24
VegA,2012-06-22 23:06:53 UTC,592
VegB,2012-06-22 23:06:53 UTC,97
VegC,2012-06-22 23:06:53 UTC,1
VegD,2012-06-22 23:06:53 UTC,24
VegA,2012-06-22 23:07:03 UTC,592
VegB,2012-06-22 23:07:03 UTC,97
VegC,2012-06-22 23:07:03 UTC,0
VegD,2012-06-22 23:07:03 UTC,24
VegA,2012-06-22 23:07:13 UTC,592
VegB,2012-06-22 23:07:13 UTC,97
VegC,2012-06-22 23:07:13 UTC,0
VegD,2012-06-22 23:07:13 UTC,24
VegA,2012-06-22 23:07:23 UTC,591
VegB,2012-06-22 23:07:23 UTC,97
VegC,2012-06-22 23:07:23 UTC,1
VegD,2012-06-22 23:07:23 UTC,24
VegA,2012-06-22 23:07:33 UTC,591
VegB,2012-06-22 23:07:33 UTC,97
VegC,2012-06-22 23:07:33 UTC,0
VegD,2012-06-22 23:07:33 UTC,24
VegA,2012-06-22 23:07:43 UTC,591
VegB,2012-06-22 23:07:43 UTC,98
VegC,2012-06-22 23:07:43 UTC,1
VegD,2012-06-22 23:07:43 UTC,24
VegA,2012-06-22 23:07:53 UTC,591
VegB,2012-06-22 23:07:53 UTC,96
VegC,2012-06-22 23:07:53 UTC,1
VegD,2012-06-22 23:07:53 UTC,24
VegA,2012-06-22 23:08:03 UTC,592
VegB,2012-06-22 23:08:03 UTC,99
VegC,2012-06-22 23:08:03 UTC,1
VegD,2012-06-22 23:08:03 UTC,24
VegA,2012-06-22 23:08:13 UTC,591
VegB,2012-06-22 23:08:13 UTC,97
VegC,2012-06-22 23:08:13 UTC,0
VegD,2012-06-22 23:08:13 UTC,24
VegA,2012-06-22 23:08:23 UTC,591
VegB,2012-06-22 23:08:23 UTC,97
VegC,2012-06-22 23:08:23 UTC,0
VegD,2012-06-22 23:08:23 UTC,24
